id,username,place_id,content,date,rating
10,Alex,114,Thu tiền mà không ai soát vé,2021-05-07 23:49:34,5
11,Alice Nguyen,294,"Thác Khuổi Nhi nằm trong khu vực lòng hồ sinh thái Na Hang với 3 tầng thác chảy dài 3km từ trên đỉnh núi xuống lòng hồ, trông xa tựa như dải lụa trắng mềm mại giữa đại ngàn.
Gần chân thác, một số hộ đã làm bè nổi phục vụ việc nghỉ ngơi, ăn uống của du khách với nhiều món cá đặc sản trên lòng hồ. Đến tối, nhiều thuyền còn nán lại để câu cá đêm, xem ngư dân đánh cá, sáng ra chụp ảnh bình minh trên khu vực Cọc Vài.

Điểm độc đáo nhất ở thác Khuổi Nhi là bạn sẽ được trải nghiệm massage cá tự nhiên. Khi đặt chân xuống nước, cá sẽ kéo đến rỉa rỉa chân bạn, mới đầu có thể khiến bạn tê tê buồn buồn, nhưng chỉ một lúc thôi là thích thú vô cùng.
Tôi đã mất 3 lần đưa chân xuống nước lại giật vội chân lên vì không quen cảm giác bị đàn cá lao vào rỉa chân. Phải tới lần thứ 4 mới chịu yên được một lúc để hưởng thụ hình thức mát xa đó.

Khi đi thăm thác Khuổi Nhi đừng quên mang theo đồ bơi để có thể bơi trên tầng cao nhất của thác nhé. Nước trong xanh, mát lạnh, tất nhiên là cũng chỉ bơi được trong giai đoạn hè. Chứ khi gió đông sang thì lạnh lắm đó.",2021-03-03 18:42:46,2
12,Alice Nguyen,390,"Đền Pác Tạ nằm trong khuôn viên lòng hồ Na Hang, là một trong những điểm du lịch tâm linh hấp dẫn trong tua du lịch tham quan, khám phá hồ sinh thái Na Hang - Lâm Bình.
Đền thờ phụng và tưởng nhớ vị hôn thê của Tướng quân Trần Nhật Duật. Một năm đền diễn ra hai lễ lớn, đầu năm lễ cầu, cuối năm lễ tạ. Vào dịp lễ, nhân dân trong vùng tập trung tại đền, cùng cầu mong cho một năm mới mưa thuận gió hòa, mùa màng tốt tươi, đời sống người dân ấm no.
Đền được xếp hạng Di tích Quốc gia vào năm 2009.",2023-04-01 20:37:38,5
13,Alice Nguyen,311,"Chúng tôi tới thác Ồ Ồ vào buổi chiều sau cơn mưa nên đường đi khá trơn. Lúc đi xuống chân thác phải bỏ giầy dép đi chân đất mới không bị trượt ngã. Nhiều bạn sợ, đi không quen, phải ngồi bò hoặc trượt mông xuống.
Do ảnh hưởng của dịch covid nên hiện tại quanh thác không có cửa hàng nào, muốn mua nước hay ăn quà vặt cũng không có. Nghe nói vào mùa hè, nước cạn hơn, còn xuống tắm được phía dưới chân thác rất mát.
Chấm cho thác 4 sao vì vẻ đẹp tự nhiên của thác 😊😊",2022-01-02 13:57:30,2
14,An Nguyễn,276,"Nhìn trên cao rất đẹp. Nhưng sao ko làm thành điểm du lịch nhỉ? Mk thấy cái này nước ngoài họ làm khá tốt.
Thật tiếc",2024-11-28 17:22:00,2
15,An Nguyễn,165,"Núi Voi là một quần thể núi đá, núi đất nằm xen kẽ nhau, nhấp nhô, uốn khúc có vị trí địa lý l06°34'7"" Kinh Đông 20°50'30"" Vĩ Độ Bắc, cách thành phố Hải Phòng khoảng 20 km, có hình dáng một con voi đang nằm. Quần thể núi Voi thuộc địa phận các xã Trường Thành, An Tiến và An Thắng của huyện An Lão; là một trong những di tích lịch sử, thắng cảnh cấp quốc gia của thành phố Hải Phòng được nhà nước xếp hạng sớm, ngày 28/4/1962[1]; là một trong những điểm khảo cổ học lớn miền ven biển Đông Bắc
Núi Voi khá độc đáo với sơn thuỷ, hữu tình, được bảo bọc hai bên bởi sông Lạch Tray và Đa Độ. Trên núi có nhiều hang động kỳ thú (động Họng Voi, động Nam Tào, Bắc Đẩu[1]), núi đồi quần tụ, rừng cây tươi tốt trải dài trên sườn đồi, thung lũng mở rộng trên một diện tích gần 300 ha[2].

Lễ hội truyền thống núi Voi ngày 15, 16, 17 tháng Giêng hàng năm",2024-12-30 09:06:22,5
16,An Nguyễn,249,1,2022-08-29 22:25:46,3
17,Anh,294,"Thác tuyệt đẹp, nước rất trong và sạch, có thể bơi được. Có đàn cá mát xa rất đáng yêu. Người dân nhiệt tình, thân thiện. Không mất phí lên thác nhưng nên đóng góp phí môi trường 10k/ người",2023-04-14 19:46:43,2
18,Anh,61,"Đây là chùa Hương gốc đầu tiên. Chùa Hương ở Hà Nội là phiên bản sau. Chi phí: 20K vé vào cửa + 70K xe điện (khứ hồi) + 200K cáp treo (khứ hồi). Ban đầu, đi xe điện (khoảng 4-5km) để vào ga cáp treo hoặc đi thuyền (nước thường cạn không đi được). Sau đó đi cáp treo khoảng 5 phút rồi leo dốc khá mệt khoảng 20p. View khá đẹp. Thỉnh thoảng mà gặp người bán quán hoặc người điều khiển xe cáp báo 15-30p nữa cáp mới chạy thì nhớ phản ứng là được đi ngay",2023-10-09 14:00:54,2
19,Anh,275,"Thành cổ do tướng Hoàng Công Chất xây dựng từ thế kỷ 18. Trong quần thể có đền thờ, có cây cổ thụ khổng lồ hơn 300 năm tuổi. Đằng sau có  sân ẩm thực dân tộc Thái",2022-09-27 16:59:36,2
20,Anh,266,Ổn,2021-06-23 06:27:57,3
21,Anh,99,"Một trong những cánh đồng đẹp nhất Việt Nam. Rộng bao la, đằng xa là núi non hùng vĩ phủ mây trắng",2022-07-28 03:51:04,1
22,Anh,44,"Khái quát về không gian văn hóa Mường. Chưa thực sự đặc sắc, vẫn có trưng bày hiện vật của quốc gia khác. Có phục vụ ăn uống, có sân rộng cho tập thể",2022-08-19 01:00:12,2
23,Anh,57,"Một trong những ngôi chùa lâu đời cổ kính nổi tiếng ở Sóc Trăng. Cách đây hơn 20 năm, chùa có rất nhiều dơi. Có những con dơi nặng vài kg. Buổi sáng dơi nằm ngủ đen kịt trên những vòm cây cổ thụ. Buổi tối dơi bay đi kiếm ăn. Tuy nhiên có một vụ cháy ở chùa cách đây khoảng 20 năm nên dơi đã bay đi nơi khác rất nhiều. Kèm theo là nặn bắt dơi nên số lượng dơi ở chùa hiện nay còn rất ít. lác đác trên một số vòm cây, quan sát kỹ mới thấy từng đàn dơi treo mình. Hiện tại vẫn có những con dơi nặng 1 đến 2 kg",2023-06-06 02:15:30,3
24,Anh,72,"Chùa xây cách đây khoảng 1000 năm, thời nhà Lý. Có bức tượng Phật đá xanh rất đẹp, trước đây nạm vàng. Chùa bị giặc Pháp đốt phá toàn bộ. Bức tượng Phật khổng lồ sau chùa dựa vào mẫu tượng xưa. Ra sau chùa, leo lên đỉnh đồi nơi có tượng Phật và tháp, view đẹp",2022-04-30 10:58:32,2
25,Anh Chi,173,"Đi theo google maps vào đường chuối siêu đẹp, có đoạn xuyên rừng tràm vắng hoe mới tới đc đây, sợ lắm nha trời mà hình như là đường tắt, đợt đó đi vì có tổ chức chợ quê, nhưng ở hướng khác chứ ko nằm trong khu di tích này nha, khu di tích nên rộng lắm chạy xe vào mới đi hết đc.
Chợ quê thì có chỗ ngồi lại ăn mà giữa trời nắng, đi xa vs bụng yếu nên ko dám thử món nào, lúc m đi cũng không đông lắm",2021-08-28 02:21:39,2
26,Anh Chi,67,"Đường lên siêu đẹp nhưng hơi dốc, đoạn lên tới chùa vẫn chạy xe tay ga đc, lên cao hơn tầm 5km cây nữa là bắt đầu cấm xe tay ga, đi  ngày nắng nên trời siêu đẹp, giữ xe miễn phí, chùa đẹp rộng có tượng Phật cao nổi tiếng, gặp nhiều đoàn du lịch cả ng Việt và nc ngoài, ai mặc đồ ngắn chùa có để sẵn vải choàng ...",2021-01-02 21:56:37,4
27,Anh Chi,320,"Tháp nằm ngay trung tâm, buổi tối lên đèn rất nổi bật, phía dưới là cv khu vui chơi e bé",2021-11-09 09:33:06,4
28,Anh Chi,126,"Lần t2 trở lại cũng không khác xưa mấy, lối vào nhiều chỗ để xe hơn có quán nc và võng nằm lại, có lối vào chùa từ bãi giữ xe mà ko cần đi vòng cổng chính, gửi ở những bãi cuối kế chùa thì ko phải đi bộ quá xa, và đây cũng là 1 trong những địa điểm tâm linh của BT, lối vào hơi vắng đi đông sẽ ổn áp hơn, phía trước hơi bát nháo bán vé số la làng um sùm, ... Tự rao tự dè bĩu lun, cảm thấy ko nên có những ng như thế này ở những địa điểm tâm linh",2022-02-27 20:09:02,3
29,Anh Chi,240,"Nhà thờ đẹp theo kiểu cổ, nói chung rất ấn tượng, ở khá xa trung tâm nhưng rất được nhiều đoàn du lịch ghé đến, bãi đỗ xe khá rộng, đừng quên đi vào hang đá để tìm hiểu thêm nè, bên trong hơi tối nên ko tiện chụp ảnh",2022-03-30 23:43:42,1
30,Anh Chi,149,"Hồ siêu to nhưng mặt hồ rất sạch nhé, là nơi nhất định phải check in khi đến thủ đô
M ra ngay dịp lễ lớn mọi người chen lấn để chụp hình mà xung quanh hồ cũng ko có rào nên phải thật cẩn thận nhất là gia đình có bé nhỏ nhé",2022-01-19 08:53:00,2
31,Anh Chi,270,"Ngồi ngay phía trước chùa Thiên Mụ khá đông vui, tầm 5h tắt nắng là đẹp, chèo sub cũng chill mà ngồi ún nc nói chuyện cũng mát, giá nước và giá đồ ăn vặt cũng khá rẻ, tàu hủ ăn ổn, cafe muối cũng ổn, nhìu quầy nc tha hồ lựa chọn",2023-08-28 21:52:54,1
32,Anh Chi,4,"Từ trung tâm chạy ra tới đây sụm nụ thiệt, trời nắng kinh khủng nên vào mấy quán nước có võng nằm xong chạy về, cũng có nhiều người tắm lắm",2023-01-31 23:57:45,3
33,Anh Chi,37,"Nên đi nha, vào ngay chốt có bác bv hướng dẫn và phải đeo thẻ nha, giữ xe chạy sát vào tòa nhà rồi quẹo trái hình như để xe chung vs nv
Ko quá tấp nập như những bảo tàng khác, cảm giác yên tĩnh tìm hiểu rất thư giãn, trưng bày đầy đủ các loại áo dài, cổ phục từ xưa đến nay và cả những bộ đồ của hoa hậu đăng quang",2024-04-19 15:31:22,2
34,Anh Chi,181,"Cổng vào ngay trung tâm nên ko nghĩ bên trong lại rộng đến vậy, để di chuyển hết các địa điểm phải trọn 1 ngày, nơi thích hợp để picnic, hôm m đi có trình diễn ca nhạc",2022-05-11 08:03:01,1
35,Anh Chi,313,"Từ trung tâm qua đc tới đây siêu xa lun ấy, đi theo google maps tới đúng điểm nhưng ko có chỗ giữ xe, để xe giữa sân, nv bán vé siêu chậm do vắng khách nên kiểu cũng lơ là, khách thì chờ mà cứ kiểu tình tang, từ chỗ mua vé đi thẳng lên con dốc một đoạn cũng khá xa là thấy tháp, đi giữa trưa nắng, hôm m đi khá vắng có m vs 2 ng nc ngoài",2022-10-06 07:06:13,4
36,Anh Le,294,"Thác đẹp. Đường đi lên cũng dễ đi. Lên đến đỉnh có cá ăn chân. Nước mát và trong. Đi lên có dẫn đoàn an toàn 10 nghìn một người. Nói chung là nên đi cẩn thận, 1 số phiến đá có rêu nên trơn.
Nên mặc quần áo mỏng loại nhanh khô.
Nên đi dép tổ ong loại mỏng để dễ bám đá.
Không nên mang nhiều đồ để dễ leo trèo.",2023-12-27 20:20:10,3
37,Anh Le,12,"- Bãi biển sạch, không sâu, đi ra xa được. Ngươi địa phương hiền lành, thật tình.
- Chủ yếu người địa phương, chưa khai thác hết tiềm năng du lịch. Phù hợp cho khách thích yên tĩnh. Sôi nổi thì đi hơi xa.
- Đồ ăn tạm ổn. Giá cũng không rẻ",2023-07-22 00:18:24,1
38,Anh Le,225,"Ngôi đình được xây dựng cực kỳ kỳ công và tinh xảo. Nhìn từng chỗ được chạm trổ, điêu khắc trên đình, cột mà mình thán phục không thôi.",2024-09-14 15:19:04,5
39,Anh Le,370,"Ngôi đình được xây dựng cực kỳ kỳ công và tinh xảo. Nhìn từng chỗ được chạm trổ, điêu khắc trên đình, cột mà mình thán phục không thôi.",2023-07-22 21:41:07,3
40,Anh Le,106,"Vẫn giữ được nét đẹp mộc mạc, đặc thù của vùng Cù Lao, của con người miền Tây vui vẻ, hào sảng và nghĩa tình.
Thử trải nghiệm được đi xuồng ba lá; uống mật ong, phấn hoa; ngồi thưởng trà, ăn trái cây và nghe dân ca, cải lương; ăn mứt dừa mới ra lò nóng hổi... khi đến đây nhé!",2022-10-11 18:14:09,5
41,Anh Le,329,"Gọi tên là Trại rắn nhưng có rất nhiều loài động thực vật nơi đây;
Cũng có nhiều sản phẩm được làm ra từ Rắn, Trăn...
Nên có Hướng dẫn viên để giới thiệu cho du khách vè sự đa dạng loài và vai trò của Rắn cũng như các loài động thực vật khác nhằm nâng cao ý thức về bảo tồn thiên nhiên. Đồng thời, cũng cần có Giám sát viên để giám sát, nhằm nhắc nhở, tránh những hành động chọc phá thú, gây (cảm giác) mất an toàn. Đối với loài rắn cực độc như Mái Gầm cần che chắn cẩn thận hơn.",2023-04-16 22:04:38,2
42,Anh Nguyễn,189,"Khu du lịch tọa lạc tại xã Long Hưng A, huyện Lấp Vò, tỉnh Đồng Tháp. Công trình do ông Đặng Phước Thành xây dựng, với nhiều hạng mục như: đền thờ Đặng tộc Nam Phương Linh Từ, bảo tàng Nam Bộ, bảo tàng Đặng tộc...Đền thờ với kiến trúc nhà gỗ cổ mang đậm dấu ấn thời nhà Nguyễn nên được mệnh danh là ""cố đô Huế giữa lòng Tây Nam Bộ"". Đến đây, ngoài việc tỏ lòng tưởng nhớ đến các vị danh nhân có công khai khẩn, mở mang vùng đất phương Nam, chúng ta sẽ được thưởng thức các món ăn đậm chất Nam bộ, tham gia các hoạt động giải trí tại công viên nước.
Hàng năm Khu Du Lịch Phương Nam Đồng Tháp tổ chức lễ hội theo nghi thức truyền thống vào mùng 8 – 9 tháng 3 âm lịch, trong đó mùng 8/3 giỗ hội các nhân vật lịch sử đất Phương Nam, mùng 9/3 giỗ tổ Thủy sư Đô đốc Đặng Nhân Cẩm (Thủy tổ của họ Đặng Long Hưng và Phương Nam).
Quý khách nên tham quan buổi sáng hoặc chiều mát để có những bức ảnh đẹp nhất.",2022-04-22 08:14:32,3
43,Anh Nguyễn,286,"Trải nghiệm phong cảnh hoang sơ, chinh phục từng tầng thác, đắm chìm trong thiên nhiên trong lành mát mẻ",2022-04-08 00:34:38,5
44,Anh Nguyễn,278,Tốt,2022-04-08 10:48:30,2
45,Anh Nguyễn,245,"Khung cảnh hùng vĩ, có tập đoàn du lịch đầu tư nên cơ sở vật chất rất tuyệt, máy lạnh ở trong , thang máy, thang cuốn đầy đủ. Phía ngoài thì trời lạnh do trên núi, có nhiều người hướng dẫn ở mỗi lối đi. Sẽ phải đi bộ hơi nhiều nhé. Đi một lần cho biết chứ sẽ không đi lại lần hai, nhưng rất ưng ý👍🏼 nếu ai chưa đi thì nên thử một lần. …",2023-08-28 12:34:07,3
46,Anh Son,328,"Đừng kì vọng đi chơi nhiều view đẹp. Vì nếu không vào mùa thì chỉ toàn cỏ. Ngựa là ngựa giống nha, không phải ngựa để cưỡi.
Đi dạo bãi cỏ thì chill.
Giá vé 30k 1 người nha.",2024-02-02 15:20:59,1
47,Anh Son,18,"nước đợt này tắm hơi đục và lạnh.
Nên tắm sau 5h chiều nước sẽ ấm hơn.",2024-11-12 05:13:13,5
48,Anh Son,49,"Bến này thành tổ hợp công viên đi bộ rất hay. Công viên khuôn viên bao gồm tượng đài bác Hồ, khu công viên dài chạy xuyên qua sông Cần Thơ.
Một con sông lớn.
Bến đứng giữa sông rất đẹp. Và trải dài cho cư dân khách du lịch có thể chạy bộ đi bộ tập thể dục rất thoải mái.",2023-07-22 05:58:45,3
49,Anh Son,337,Đất mũi sạch sẽ có vài điểm khá gần nhau. Đi bộ xe đều được,2024-11-18 11:56:32,3
50,Anh Son,63,"Đi dịp thấp điểm thì vắng. Phong cảnh yên bình và cái hay là chùa to nhưng gian thờ ít. Rất phù hợp để vãn cảnh.
Không gian nhiều cây xanh, đơn sơ và ít bị ảnh hưởng bởi hiện đại hơn. Ao nước đẹp.
Bác bảo vệ thân thiện.",2024-07-29 05:02:39,2
51,Anh Vũ,236,Rất đẹp,2023-02-07 05:00:58,3
52,Anh Vũ,345,"Nếu đánh giá thì Cát Tiên là VQG bảo tồn thiên nhiên hoang dã, tốt nhất VN, bên cạnh VQG Côn Đảo. Ở đây có vượn, khỉ, voọc, công, nai, bò tót, cá sấu và rất nhiều động vật hoang dã khác. Không khó để bắt gặp chúng khi đi rừng.",2022-10-25 14:42:04,4
53,Anh Vũ,344,"Nếu đánh giá thì Cát Tiên là VQG bảo tồn thiên nhiên hoang dã, tốt nhất VN, bên cạnh VQG Côn Đảo. Ở đây có vượn, khỉ, voọc, công, nai, bò tót, cá sấu và rất nhiều động vật hoang dã khác. Không khó để bắt gặp chúng khi đi rừng.",2024-08-25 22:22:23,5
54,Anh Vũ,346,"Vườn quốc gia Yok Đôn nổi bật với hệ sinh thái rừng khộp độc đáo. Đến đây, du khách có thể tham gia nhiều hoạt động gắn liền với thiên nhiên như trekking, cắm trại, ngắm chim. Điểm đặc biệt và ấn tượng nhất chính là trải nghiệm ngắm voi trong môi trường sống tự nhiên của chúng. Bạn có thể quan sát voi ở khoảng cách rất gần (chỉ 2–5 mét), thấy chúng tự do di chuyển và kiếm ăn giữa rừng. Đây thực sự là trải nghiệm hiếm có, rất đáng thử khi ghé Yok Đôn. 🌿🐘✨",2022-07-05 14:11:23,2
55,B & B (ĐẠO BÁNH MÌ),186,"Nơi lý tưởng xả stress, vui chơi nhiều trò chơi dân gian
Đồ ăn dân dả ngon chuẩn Miền Tây
Nơi giành cho tour đoàn, hộ gia đình, cá nhân cũng ok nhưng chắc sẽ hơi buồn đi đông mới vui",2024-06-01 19:47:03,3
56,B & B (ĐẠO BÁNH MÌ),13,"Đi dạo quanh bãi biển
Cảnh đẹp quá chời, người ta tắm buổi trưa cũng nhiều lắm.
Đi thăm mộ Hàn Mặt Tử sẵn đi dạo, thấy biển đẹp quá.",2024-11-19 18:56:14,3
57,B & B (ĐẠO BÁNH MÌ),313,"Lịch sử của Tháp Bánh Ít để kể thì quá dài.
Nên mọi người xem hình mình up là có đầy đủ thông tin.
Tôi đến đây lúc 13h trưa nắng chói chang 33 độ. Nhưng vẫn leo lên và tham quan hết tất cả thắp nhang cho vị Thần.
Nhìn cổ kính hùng tráng lắm
Mọi người đến đây nên ghé qua thăm viếng, và trải nghiệm nhé.",2024-06-18 17:28:46,3
58,Bao Tran,182,"Đường đi vào có đoạn xấu, bụi mù. Cảnh kênh nước và sen nở vào sáng đẹp. Thức ăn ok. Các bạn nv hỗ trợ pv nhiệt tình, nhẹ nhàng. Nơi lưu trú đc cải tạo từ vp làm việc. Giá cả so so",2023-05-21 07:33:22,3
59,Bao Tran,182,"Đường đi đến có đoạn xấu, bụi mịt mù. Cảnh đẹp, nhỉnh hơn Tràm Chim. Giá cả hợp lý. Đặc biệt nhân viên dễ mến, chìu khách",2024-06-26 20:00:25,4
60,Bao Tran,30,"Bảo tàng Hồ Chí Minh tại Huế, nên đến thăm khi ghé thành phố này.",2022-05-02 01:13:06,5
61,Bao Tran,9,"Cả nhà cùng đi Bàu Trắng ngắm đồi cát – cảnh sắc đẹp mê hồn. Trải nghiệm lái xe địa hình lên xuống như tàu lượn, vừa hồi hộp vừa cực kỳ thú vị!",2022-03-28 04:20:19,2
62,Bao Tran,146,"Yến, Bobby, and Vivian absolutely love hanging out at Crescent Plaza. The fresh air, delicious eateries, and beautiful scenery make it the perfect spot to relax and enjoy the day.

Ba mẹ con Yến, Bobby và Vivian rất thích dạo chơi tại Crescent Plaza. Không khí trong lành, nhiều quán ăn ngon và cảnh quan tuyệt đẹp khiến nơi đây trở thành điểm đến lý tưởng để thư giãn và tận hưởng ngày mới.",2024-12-05 13:13:21,2
63,Bao Tran,145,"Hồ Ba Bể có không gian thật tuyệt vời, đúng như những gì thế giới đã công nhận.
Đầu tư du lịch tại khu này chưa được chuyên nghiệp lắm, mặc dù không gian, thiên nhiên rất xứng đáng.",2023-09-28 10:48:25,2
